cust_id,age,income_mo,city_tier,cibil,tenure_mo,credit_limit,monthly_spend,food_spend,travel_spend,shopping_spend,entertainment_spend,utilities_spend,txn_count,avg_txn_value,util_rate,payment_behavior,emi_conversion,reward_pts_mo,intl_txn_pct,missed_payments,autopay_enabled,cluster,persona
CC0000025,43,41988,Tier1,840,81,70000,25552,7892,2861,3410,1286,7666,8,3194,0.365,Partial,1,686,0.053,0,1,1,Everyday User
CC0000026,46,14208,Tier1,709,66,37000,15379,4478,1661,3824,498,4614,15,1025,0.416,Partial,1,717,0.025,0,1,1,Everyday User
CC0000027,48,41560,Tier2,796,66,107000,57699,17969,6118,6908,2947,17310,22,2623,0.539,Partial,1,701,0.085,0,1,0,Everyday User
CC0000028,63,19441,Tier1,582,28,39000,14904,3533,2177,3016,1324,4471,18,828,0.382,Full,0,724,0.089,0,0,1,Everyday User
CC0000029,49,22304,Tier2,858,83,49000,11670,2857,1137,3419,1720,2537,17,686,0.238,Full,0,696,0.011,0,1,1,Everyday User
CC0000030,37,55869,Tier2,739,23,179000,88058,23474,21801,25128,9527,8127,21,4193,0.492,Full,0,669,0.024,0,1,3,Premium Shopper
CC0000031,36,121597,Tier2,762,4,239000,40698,11876,8050,4117,5190,11464,18,2261,0.17,Minimum,0,680,0.082,0,1,1,Everyday User
CC0000032,24,37452,Tier3,620,79,108000,45127,8649,8281,14379,3846,9971,17,2655,0.418,,0,632,0.004,0,1,1,Everyday User
CC0000033,58,22242,Tier1,615,43,53000,18407,5491,2137,5181,1323,4274,18,1023,0.347,Partial,1,662,0.053,1,0,1,Everyday User
CC0000034,28,40668,Tier2,664,9,102000,63357,7058,15031,24078,6320,10871,9,7040,0.621,Minimum,0,718,0.04,0,0,0,Everyday User
CC0000035,42,63794,Tier2,711,33,143000,39392,8310,8949,9559,5443,7131,12,3283,0.275,Full,1,721,0.009,1,1,1,Everyday User
CC0000036,30,52712,Tier2,692,13,162000,109613,12702,13648,17882,13666,32884,15,7308,0.677,Partial,0,694,0.078,0,1,3,Premium Shopper
CC0000037,60,188314,Tier2,681,71,284000,130226,13054,7332,44908,17869,39068,18,7235,0.459,Minimum,0,692,0.009,0,1,3,Premium Shopper
CC0000038,39,23642,Tier3,696,7,44000,23055,5323,3801,6695,1372,5864,14,1647,0.524,Full,0,675,0.046,1,1,1,Everyday User
CC0000039,25,42249,Tier3,546,50,94000,39933,4095,4802,11402,1692,11980,13,3072,0.425,Minimum,1,735,0.089,1,1,1,Everyday User
CC0000040,46,91982,Tier2,739,40,176000,45352,14386,8141,15142,2195,5488,18,2520,0.258,Full,1,695,0.094,0,0,1,Everyday User
CC0000041,35,88583,Tier2,698,53,230000,57083,5749,10968,18725,6068,15573,17,3358,0.248,Full,1,726,0.014,0,0,1,Everyday User
CC0000042,30,11271,Tier2,776,81,32000,8878,2165,2145,3413,395,759,19,467,0.277,Partial,0,752,0.008,0,1,1,Everyday User
CC0000043,47,36242,Tier3,676,38,97000,61019,12874,10997,17318,2010,17821,16,3814,0.629,Partial,0,684,0.054,0,0,0,Everyday User
CC0000044,23,88496,Tier1,683,35,220000,80188,14450,4740,31099,10296,19603,12,6682,0.364,Partial,0,694,0.288,0,1,4,Everyday User
CC0000045,41,205744,Tier2,721,45,500000,306966,76684,24707,54607,18601,92090,13,23613,0.614,Partial,0,726,0.019,1,0,2,Premium Shopper
CC0000046,49,55397,Tier2,757,4,182000,56658,7534,9521,11571,5039,16997,16,3541,0.311,,0,712,0.078,0,0,1,Everyday User
CC0000047,28,29123,Tier2,790,80,84000,58798,9360,7777,17869,2600,17639,21,2800,0.7,Partial,0,751,0.072,0,0,0,Everyday User
CC0000048,29,19821,Tier1,707,59,56000,18763,5708,2922,7263,2089,938,18,1042,0.335,Minimum,1,688,0.046,0,1,1,Everyday User
CC0000049,56,137482,Tier2,739,50,461000,374436,103981,55779,43309,24552,112331,26,14401,0.812,,0,674,0.036,1,0,2,Premium Shopper
CC0000050,35,56232,Tier2,712,64,192000,113769,15347,19736,42986,4172,31528,19,5988,0.593,Partial,1,719,0.112,0,0,3,Premium Shopper
CC0000051,38,21833,Tier1,689,20,42000,16416,3994,3559,4487,1897,2479,11,1492,0.391,Partial,0,733,0.016,0,1,1,Everyday User
CC0000052,57,32148,Tier2,575,8,69000,59191,15903,12309,21623,6000,3356,12,4933,0.858,Full,0,689,0.159,0,1,4,Everyday User
CC0000053,61,43744,Tier2,724,39,67000,16776,5541,3763,4033,844,2594,9,1864,0.25,Partial,0,696,0.029,1,0,1,Everyday User
CC0000054,25,50326,Tier3,646,67,111000,96937,21458,16383,28703,14410,15981,18,5385,0.873,Partial,0,736,0.147,1,1,3,Premium Shopper
CC0000055,23,21168,Tier1,770,72,62000,11755,3164,939,2940,1458,3255,17,691,0.19,Full,0,712,0.05,0,1,1,Everyday User
CC0000056,27,25122,Tier1,649,14,87000,51045,9625,5745,15168,6666,13840,10,5104,0.587,Full,1,689,0.032,0,0,0,Everyday User
CC0000057,63,13470,Tier1,670,21,21000,15656,3987,1111,3388,997,4697,11,1423,0.746,Full,0,724,0.029,0,0,0,Everyday User
CC0000058,25,67769,Tier3,652,37,117000,83887,14615,7155,24338,8120,25166,10,8389,0.717,Full,0,686,0.066,0,1,3,Premium Shopper
CC0000059,50,29585,Tier3,747,67,75000,50568,11078,6391,18062,5626,9411,19,2661,0.674,Full,0,705,0.091,0,1,0,Everyday User
CC0000060,39,48040,Tier2,688,73,83000,14218,3615,740,2433,937,4265,14,1016,0.171,Partial,0,710,0.08,0,1,1,Everyday User
CC0000061,47,85251,Tier1,749,26,136000,52743,16982,4597,17956,7353,5854,19,2776,0.388,Minimum,1,719,0.108,0,1,4,Everyday User
CC0000062,55,41437,Tier2,523,83,99000,37845,11145,4844,12407,4721,4728,23,1645,0.382,Minimum,1,722,0.012,0,1,1,Everyday User
CC0000063,31,33936,Tier2,849,81,100000,20156,6367,3039,2706,2141,5904,12,1680,0.202,Full,0,679,0.001,0,1,1,Everyday User
CC0000064,57,40797,Tier3,639,32,89000,64170,14564,11513,17425,5432,15235,5,12834,0.721,Partial,0,697,0.023,0,1,3,Premium Shopper
CC0000065,35,37719,Tier2,763,3,72000,23437,5507,3765,6197,934,7031,10,2344,0.326,Full,1,710,0.083,0,0,1,Everyday User
CC0000066,52,76703,Tier3,744,56,168000,146147,26522,35508,19273,17474,43844,15,9743,0.87,Full,0,690,0.281,0,0,3,Premium Shopper
CC0000067,36,43761,Tier1,759,24,77000,49622,10891,6189,16186,3844,12512,14,3544,0.644,Full,0,668,0.027,0,1,0,Everyday User
CC0000068,29,26196,Tier2,652,76,58000,36167,9510,7715,5082,4623,9236,21,1722,0.624,Full,1,706,0.032,0,0,0,Everyday User
CC0000069,35,68098,Tier3,686,60,169000,37293,7827,4477,7924,4932,11188,18,2072,0.221,Partial,0,676,0.061,0,0,1,Everyday User
CC0000070,44,75985,Tier2,737,16,125000,38022,8906,5365,6583,2141,11407,17,2237,0.304,Full,1,699,0.016,0,0,1,Everyday User
CC0000071,61,16269,Tier3,710,77,42000,16840,4769,2434,1820,2231,5052,14,1203,0.401,Partial,0,688,0.084,0,0,1,Everyday User
CC0000072,42,91096,Tier3,646,25,229000,81467,18627,14085,11013,5096,24440,12,6789,0.356,Partial,0,704,0.014,0,0,0,Everyday User
CC0000073,37,45199,Tier2,750,64,105000,39675,8476,9630,10585,5549,5436,20,1984,0.378,Full,0,698,0.015,0,1,1,Everyday User
CC0000074,39,43043,Tier1,869,39,118000,43154,14941,3473,12450,1447,10842,13,3320,0.366,,0,709,0.066,1,0,1,Everyday User
CC0000075,45,66435,Tier2,680,77,224000,152389,18131,37339,52960,17682,26276,14,10885,0.68,Partial,0,778,0.087,0,1,3,Premium Shopper
CC0000076,47,25843,Tier2,744,48,56000,36124,11483,2706,10041,5417,6477,19,1901,0.645,Full,0,728,0.125,1,0,4,Everyday User
CC0000077,46,64376,Tier3,725,68,114000,17731,2668,1614,5011,2539,5319,15,1182,0.156,,1,706,0.023,1,1,1,Everyday User
CC0000078,62,28968,Tier2,684,48,86000,24698,5934,5286,6526,3190,3762,15,1647,0.287,Partial,1,650,0.034,1,0,1,Everyday User
CC0000079,50,14988,Tier3,766,5,30000,21599,5291,3578,3653,2056,6480,10,2160,0.72,Partial,0,687,0.006,1,0,0,Everyday User
CC0000080,36,19957,Tier3,765,74,59000,33282,7411,6152,8845,4841,6033,15,2219,0.564,Full,0,690,0.001,0,1,0,Everyday User
CC0000081,22,51032,Tier2,671,61,105000,40964,6611,6234,13735,3143,11240,14,2926,0.39,Partial,0,712,0.144,1,0,4,Everyday User
CC0000082,46,20593,Tier2,810,52,36000,28620,9444,5528,10340,1647,1661,31,923,0.795,Minimum,1,686,0.075,0,0,0,Everyday User
CC0000083,28,95420,Tier2,710,55,334000,175137,17701,25595,68080,17686,46076,14,12510,0.524,Minimum,1,736,0.003,0,1,2,Premium Shopper
CC0000084,30,74130,Tier2,785,4,190000,107278,36871,24006,35780,4630,5992,13,8252,0.565,Partial,0,717,0.005,0,1,3,Premium Shopper
CC0000085,45,80827,Tier3,734,74,241000,171880,25525,32559,44405,25209,44182,28,6139,0.713,Full,0,729,0.104,0,0,3,Premium Shopper
CC0000086,22,39139,Tier2,712,65,89000,46541,12955,8211,18448,6017,2327,12,3878,0.523,Partial,1,676,0.014,0,1,0,Everyday User
CC0000087,29,42392,Tier3,709,67,141000,36669,6720,9117,11534,3048,6251,13,2821,0.26,Partial,0,691,0.031,0,1,1,Everyday User
CC0000088,45,17743,Tier2,757,40,56000,15338,2974,2276,4324,1443,4321,19,807,0.274,Full,0,692,0.048,0,1,1,Everyday User
CC0000089,32,66004,Tier2,633,11,209000,160427,29470,9861,54947,19010,47139,20,8021,0.768,Full,0,736,0.152,0,1,3,Premium Shopper
CC0000090,38,45611,Tier2,735,70,141000,104565,20172,7262,28682,6985,31370,24,4357,0.742,Minimum,0,638,0.01,0,0,0,Everyday User
CC0000091,29,51041,Tier2,801,20,136000,22218,5705,4312,4564,1301,6335,14,1587,0.163,,0,710,0.024,0,1,1,Everyday User
CC0000092,56,100006,Tier2,745,20,246000,139916,41423,8360,46374,15940,27819,15,9328,0.569,Full,0,646,0.062,0,1,3,Premium Shopper
CC0000093,56,25246,Tier2,587,40,71000,32361,4316,6381,4610,2658,9708,12,2697,0.456,Partial,0,708,0.018,0,1,1,Everyday User
CC0000094,54,33668,Tier1,613,34,69000,16017,4949,1320,6393,1649,1706,15,1068,0.232,Partial,0,650,0.058,0,1,1,Everyday User
CC0000095,26,44179,Tier2,711,7,114000,59376,20574,2984,13197,4082,17813,14,4241,0.521,Full,0,716,0.142,0,1,4,Everyday User
CC0000096,63,20718,Tier1,654,47,59000,50457,13897,3869,6646,6077,15137,16,3154,0.855,Full,0,708,0.112,1,0,0,Everyday User
CC0000097,60,32450,Tier2,772,48,55000,27796,5610,3225,10353,835,7774,18,1544,0.505,Full,1,714,0.015,0,1,1,Everyday User
CC0000098,62,48814,Tier3,676,29,147000,89512,17698,14426,17746,11431,26854,16,5594,0.609,,0,684,0.019,0,1,0,Everyday User
CC0000099,49,29874,Tier3,748,47,73000,61076,20056,12415,24187,6555,3054,12,5090,0.837,Partial,1,699,0.236,0,1,4,Everyday User
CC0000100,28,79650,Tier2,845,2,271000,84202,26139,15488,8696,2581,25261,18,4678,0.311,Minimum,1,662,0.13,0,0,4,Everyday User
CC0000101,30,14668,Tier1,711,4,50000,23863,8304,2144,8750,2929,1737,20,1193,0.477,Partial,1,677,0.028,0,0,1,Everyday User
CC0000102,29,71230,Tier2,639,81,227000,75070,21411,18628,9591,2627,22521,17,4416,0.331,Full,0,712,0.023,0,0,0,Everyday User
CC0000103,33,53998,Tier2,737,55,127000,113570,20728,17458,20557,8455,34071,17,6681,0.894,Full,0,684,0.021,1,1,3,Premium Shopper
CC0000104,55,25815,Tier2,729,21,76000,12639,3959,1861,3363,572,2883,10,1264,0.166,Partial,0,763,0.05,0,0,1,Everyday User
CC0000105,54,20855,Tier1,727,67,41000,32284,5955,3417,12285,4629,5997,12,2690,0.787,Full,0,737,0.138,0,1,4,Everyday User
CC0000106,44,10424,Tier1,805,41,22000,10019,1259,824,3984,642,3006,15,668,0.455,Partial,0,709,0.054,0,0,1,Everyday User
CC0000107,45,22537,Tier2,626,50,60000,53082,16152,11944,15644,6698,2654,12,4424,0.885,Partial,1,723,0.06,0,0,0,Everyday User
CC0000108,58,68071,Tier1,779,26,203000,101628,25709,5283,40318,8105,22214,11,9239,0.501,Minimum,1,669,0.02,0,1,3,Premium Shopper
CC0000109,56,35114,Tier1,667,21,83000,52018,13625,7043,11830,3777,15605,16,3251,0.627,Full,1,691,0.098,0,1,0,Everyday User
CC0000110,61,72969,Tier3,806,20,225000,129777,23305,20622,32097,17664,36090,14,9270,0.577,Full,0,709,0.036,0,1,3,Premium Shopper
CC0000111,43,25036,Tier3,561,52,69000,15882,1654,923,3743,1643,4765,29,548,0.23,Full,0,695,0.122,0,1,1,Everyday User
CC0000112,48,55507,Tier1,866,47,118000,101710,24556,8970,24181,10207,30513,8,12714,0.862,Minimum,1,657,0.053,0,0,3,Premium Shopper
CC0000113,56,23612,Tier1,691,71,49000,30372,8831,1867,3694,2091,9112,13,2336,0.62,Partial,1,702,0.218,0,1,4,Everyday User
CC0000114,22,20346,Tier2,625,23,63000,22930,7389,5673,5074,3038,1755,18,1274,0.364,Partial,0,714,0.025,1,1,1,Everyday User
CC0000115,56,34055,Tier1,773,17,72000,28703,9580,5488,9719,2396,1519,6,4784,0.399,Minimum,1,666,0.062,0,0,1,Everyday User
CC0000116,58,24368,Tier2,745,31,47000,8180,2454,1565,1540,1051,1570,18,454,0.174,Full,0,683,0.031,0,0,1,Everyday User
CC0000117,35,14390,Tier2,741,72,43000,13504,2821,2895,2795,984,4010,22,614,0.314,Full,0,751,0.016,0,0,1,Everyday User
CC0000118,24,32553,Tier2,775,41,53000,24891,4443,5274,6058,3177,5938,12,2074,0.47,Minimum,0,697,0.022,0,1,1,Everyday User
CC0000119,22,38710,Tier1,712,8,74000,25538,4569,1940,7895,1243,7661,17,1502,0.345,Full,0,669,0.043,1,0,1,Everyday User
CC0000120,26,77731,Tier1,689,77,249000,74851,17399,17184,17226,7408,15634,13,5758,0.301,Partial,0,689,0.016,0,1,0,Everyday User
CC0000121,47,63709,Tier3,628,23,165000,101057,17876,7829,34024,9835,30317,14,7218,0.612,Partial,1,713,0.155,0,0,3,Premium Shopper
CC0000122,35,75506,Tier3,702,79,195000,112096,26315,26581,19644,13301,26255,13,8623,0.575,Partial,0,739,0.022,1,1,3,Premium Shopper
CC0000123,60,55950,Tier3,674,28,180000,147260,42142,8371,16047,11534,44178,18,8181,0.818,,0,709,0.02,0,0,3,Premium Shopper
CC0000124,48,44337,Tier2,709,71,139000,74980,8767,13725,15713,9556,22494,19,3946,0.539,,0,689,0.016,0,0,0,Everyday User
CC0000125,30,17372,Tier2,717,51,53000,29906,6656,2259,4082,4304,8972,14,2136,0.564,Full,0,715,0.009,2,1,0,Everyday User
CC0000126,36,39732,Tier1,831,74,88000,29954,7921,6391,3229,2915,8986,24,1248,0.34,Full,0,678,0.054,0,1,1,Everyday User
CC0000127,36,51952,Tier2,657,53,99000,81662,26682,10829,20733,5466,17952,10,8166,0.825,Minimum,1,717,0.128,0,1,3,Premium Shopper
CC0000128,47,87070,Tier3,700,41,226000,198562,58984,27667,59686,7087,45137,18,11031,0.879,,0,700,0.055,1,1,2,Premium Shopper
CC0000129,63,54818,Tier1,679,27,143000,73526,18807,9845,11919,4829,22058,14,5252,0.514,Partial,0,737,0.12,0,0,4,Everyday User
CC0000130,34,76438,Tier2,611,82,122000,25027,7195,3731,5014,2656,6431,15,1668,0.205,Full,0,698,0.441,0,1,4,Everyday User
CC0000131,53,19551,Tier1,900,47,46000,16293,3178,926,4744,1331,4888,12,1358,0.354,Full,0,665,0.124,0,0,1,Everyday User
CC0000132,60,29856,Tier3,644,15,77000,12171,1490,2480,2313,1368,3651,20,609,0.158,Full,0,704,0.116,0,1,1,Everyday User
CC0000133,53,46986,Tier2,735,79,116000,33793,8921,8071,10486,3486,2829,17,1988,0.291,Minimum,0,660,0.037,0,1,1,Everyday User
CC0000134,25,72880,Tier3,829,4,253000,40445,9811,6862,14708,2839,6224,14,2889,0.16,Full,1,752,0.3,0,1,4,Everyday User
CC0000135,51,33285,Tier1,623,36,64000,40576,12546,4491,4870,5898,12173,19,2136,0.634,Minimum,0,702,0.021,0,0,0,Everyday User
CC0000136,58,34563,Tier3,771,6,63000,48606,7053,4196,9653,2022,14582,21,2315,0.772,Partial,1,701,0.056,0,0,0,Everyday User
CC0000137,44,54846,Tier1,602,22,179000,143381,48975,17750,15010,15538,43014,17,8434,0.801,Partial,0,736,0.01,2,1,3,Premium Shopper
CC0000138,60,18481,Tier1,653,68,62000,21419,6787,3847,8536,2315,1071,16,1339,0.345,Full,0,697,0.096,0,1,1,Everyday User
CC0000139,36,95267,Tier1,749,60,307000,172970,52657,22366,19374,6915,51891,18,9609,0.563,Full,0,679,0.07,0,1,3,Premium Shopper
CC0000140,64,21429,Tier1,690,26,71000,48021,10154,10161,10187,1886,14406,18,2668,0.676,Partial,0,751,0.1,1,0,0,Everyday User
CC0000141,50,11486,Tier1,811,11,29000,20186,3680,4804,4491,1290,5920,15,1346,0.696,Full,0,672,0.013,0,1,0,Everyday User
CC0000142,57,36536,Tier2,718,78,120000,21249,6633,2069,7952,987,3607,13,1635,0.177,,0,711,0.025,1,1,1,Everyday User
CC0000143,34,100617,Tier3,746,50,251000,80370,15930,6722,12916,4990,24111,20,4018,0.32,,0,709,0.097,0,0,1,Everyday User
CC0000144,53,51631,Tier3,661,74,118000,51282,11915,6806,16792,4426,11343,17,3017,0.435,Minimum,0,653,0.068,1,1,0,Everyday User
CC0000145,28,56991,Tier2,637,8,106000,37334,6713,6758,11300,2926,9636,20,1867,0.352,Partial,0,667,0.009,0,0,1,Everyday User
CC0000146,43,37229,Tier1,629,68,113000,83046,21144,16381,25051,5324,15146,14,5932,0.735,Full,0,660,0.063,0,1,3,Premium Shopper
CC0000147,49,33143,Tier1,644,45,89000,23481,6115,2259,2501,943,7044,15,1565,0.264,Partial,1,723,0.225,0,1,4,Everyday User
CC0000148,23,14372,Tier2,661,71,32000,26864,2826,2639,9821,3191,8059,24,1119,0.84,,1,694,0.013,0,1,0,Everyday User
CC0000149,63,9362,Tier3,790,45,15000,11919,1616,1892,4542,1650,2217,16,745,0.795,Full,0,708,0.006,1,1,0,Everyday User
CC0000150,27,40854,Tier2,738,65,116000,62429,16391,7573,14761,6432,17271,12,5202,0.538,Full,1,664,0.026,1,1,0,Everyday User
CC0000151,49,79820,Tier2,620,16,232000,177911,55263,19541,60918,8521,33668,13,13685,0.767,Full,0,705,0.095,0,1,2,Premium Shopper
CC0000152,49,44644,Tier1,681,46,74000,32385,10161,4995,11644,2643,2942,13,2491,0.438,Full,1,745,0.051,0,0,1,Everyday User
CC0000153,41,52794,Tier2,707,3,140000,38437,6502,8335,4077,5440,11531,21,1830,0.275,Full,0,717,0.003,0,0,1,Everyday User
CC0000154,51,93923,Tier2,900,60,213000,82117,24885,12543,21162,7710,15817,11,7465,0.386,Partial,0,715,0.015,0,1,3,Premium Shopper
CC0000155,32,44234,Tier2,710,43,124000,19185,3310,4452,4328,1798,5296,12,1599,0.155,Minimum,1,696,0.009,0,1,1,Everyday User
CC0000156,49,33739,Tier1,741,33,74000,65285,16303,4870,22951,3233,17928,15,4352,0.882,Partial,0,681,0.056,0,1,0,Everyday User
CC0000157,46,22223,Tier1,640,71,66000,48216,8131,11071,10907,5703,12403,17,2836,0.731,Full,1,713,0.043,0,0,0,Everyday User
CC0000158,60,122189,Tier3,760,15,215000,32476,9424,7753,4652,2015,8632,16,2030,0.151,Partial,1,715,0.023,0,0,1,Everyday User
CC0000159,54,49808,Tier2,806,72,101000,77784,26294,17951,11540,4601,17398,13,5983,0.77,Full,0,652,0.121,0,1,3,Premium Shopper
CC0000160,22,20616,Tier2,699,25,58000,16518,5618,1389,5131,810,3569,18,918,0.285,Partial,1,634,0.173,1,1,4,Everyday User
CC0000161,48,17985,Tier1,753,1,56000,47384,5979,4521,13537,3829,14215,15,3159,0.846,Minimum,0,739,0.131,1,1,4,Everyday User
CC0000162,34,77021,Tier2,750,64,234000,70178,23210,12251,12410,5822,16485,19,3694,0.3,Partial,0,700,0.058,0,1,0,Everyday User
CC0000163,62,19488,Tier2,714,74,47000,14548,3914,3322,1630,862,4364,22,661,0.31,Minimum,0,701,0.041,1,1,1,Everyday User
CC0000164,24,110448,Tier1,800,16,232000,197636,34058,10333,42620,23089,59291,16,12352,0.852,Full,0,648,0.004,1,1,3,Premium Shopper
CC0000165,60,6947,Tier2,654,56,16000,8294,2019,1741,2213,1146,1176,22,377,0.518,Minimum,0,707,0.005,1,1,1,Everyday User
CC0000166,27,85268,Tier2,648,12,204000,45326,6717,7499,17384,3870,9857,23,1971,0.222,Partial,0,727,0.042,1,1,1,Everyday User
CC0000167,29,48637,Tier1,710,78,84000,47800,16180,5695,7923,3389,14340,21,2276,0.569,Full,0,705,0.214,0,1,4,Everyday User
CC0000168,48,38994,Tier1,683,8,75000,45477,12718,8745,6704,4717,12593,21,2166,0.606,Minimum,0,717,0.046,0,1,0,Everyday User
CC0000169,30,32687,Tier2,506,72,63000,41336,13665,6333,5607,4946,10785,18,2296,0.656,Full,0,687,0.037,0,1,0,Everyday User
CC0000170,58,112920,Tier2,658,66,231000,110161,12739,9341,17545,7041,33048,14,7869,0.477,Full,0,680,0.009,0,0,3,Premium Shopper
CC0000171,54,55505,Tier1,560,73,139000,100222,31325,6332,23323,7079,30067,17,5895,0.721,Full,0,747,0.034,0,1,3,Premium Shopper
CC0000172,63,21122,Tier3,687,41,42000,28819,6519,4111,5185,3991,8646,15,1921,0.686,,0,667,0.069,0,0,0,Everyday User
CC0000173,45,12947,Tier2,759,60,42000,6539,918,1073,806,461,1962,25,262,0.156,Full,0,757,0.023,0,0,1,Everyday User
CC0000174,36,40392,Tier3,713,20,135000,60365,6724,7425,21296,3109,18110,14,4312,0.447,Full,1,675,0.018,0,1,0,Everyday User
CC0000175,53,36292,Tier2,719,78,126000,54018,12158,6006,20623,2980,12252,16,3376,0.429,Partial,0,680,0.013,0,0,0,Everyday User
CC0000176,53,14590,Tier1,699,58,27000,23364,8174,2789,4545,1432,6424,13,1797,0.865,Minimum,0,777,0.02,0,0,0,Everyday User
CC0000177,45,35128,Tier3,724,52,104000,18161,4791,4253,3709,1193,4215,12,1513,0.175,Minimum,0,752,0.022,1,1,1,Everyday User
CC0000178,62,25736,Tier1,900,50,84000,29483,4151,1629,7460,4277,8845,21,1404,0.351,Full,0,660,0.068,0,0,1,Everyday User
CC0000179,33,36518,Tier2,685,28,59000,13116,1397,1688,3435,696,3935,16,820,0.222,Full,0,728,0.109,0,1,1,Everyday User
CC0000180,60,56137,Tier1,709,66,176000,28594,6142,5679,7216,3237,6320,13,2200,0.162,Minimum,0,704,0.018,0,1,1,Everyday User
CC0000181,23,88927,Tier2,649,67,238000,141862,40070,13735,38530,17134,32393,13,10912,0.596,Full,0,711,0.045,0,0,3,Premium Shopper
CC0000182,24,62651,Tier3,576,37,132000,90817,16581,11410,16725,9811,27245,17,5342,0.688,Full,1,689,0.049,0,0,0,Everyday User
CC0000183,58,23556,Tier2,728,64,63000,26522,3123,4138,7322,2296,7957,18,1473,0.421,Partial,0,721,0.025,0,0,1,Everyday User
CC0000184,38,45313,Tier2,789,80,117000,92247,17920,22078,13488,11707,27054,14,6589,0.788,Full,1,704,0.059,0,1,3,Premium Shopper
CC0000185,23,37717,Tier3,872,29,114000,21240,4599,3476,4889,2067,6209,20,1062,0.186,Minimum,1,704,0.007,0,0,1,Everyday User
